720000,"16656341,17294369,14905769"
110000,"2244292,2148987,1959902"
230000,"5105982,4839901,4231482"
360000,"8386162,8355737,7201312"
50000,"949850,942680,770854"
220000,"4900993,4550492,3947849"
610000,"14001573,14700931,12201282"
390000,"8797007,9102052,7538397"
920000,"22903843,23151289,19150940"
40000,"762687,760004,644099"
600000,"14056360,13713048,12057479"
560000,"13427110,13067721,11180201"
200000,"4342400,4335216,3644747"
870000,"21360994,22544931,18045272"
780000,"19026559,18408876,16014358"
550000,"12401833,12568878,11025308"
70000,"1278851,1358575,1145293"
880000,"20987610,21446696,18216270"
980000,"24076832,23919294,20797676"
530000,"12509583,12497508,10607424"
310000,"7145647,6909323,5962811"
470000,"10793647,10891543,9274094"
990000,"25251084,24492672,20568773"
270000,"5821217,5959670,4965616"
820000,"19273384,19063856,16930814"
540000,"13178279,12414235,10500013"
590000,"13985069,14535179,11923354"
420000,"9567391,9841299,8109255"
140000,"2883805,2874836,2462111"
840000,"20931066,19764360,17309221"
410000,"9585455,9915037,7990132"
130000,"2734448,2895203,2333024"
740000,"17502439,17539658,14937969"
830000,"19935408,20421786,17373772"
950000,"23708150,23489593,19891960"
300000,"6655658,6760818,5618623"
240000,"5365892,5279721,4495592"
330000,"7427458,7771678,6496821"
60000,"1124469,1126274,976391"
620000,"14743690,14567203,12480010"
430000,"10188028,10035512,8444701"
760000,"18321588,17905734,15503274"
350000,"7917569,7834421,6718680"
770000,"18708586,18049907,15905229"
100000,"1999940,1947429,1786590"
680000,"16441111,15912847,13630179"
320000,"7045868,7109322,6011979"
670000,"16757368,16048913,13386441"
280000,"6060339,6152276,5344990"
940000,"22457381,22686116,19586849"
850000,"20011163,20353604,17373434"
90000,"1868910,1781316,1594016"
660000,"15947119,15577570,13214585"
800000,"18715596,19491641,16689649"
690000,"17315236,16228311,14079593"
440000,"9956510,10086055,8723689"
640000,"15337381,15261641,13421564"
380000,"8613847,8399695,7512505"
910000,"24543613,22232153,19472496"
650000,"15014083,15343952,13023670"
30000,"518413,528464,458367"
510000,"11875829,12552608,10380340"
190000,"3892791,3985958,3499875"
210000,"4407630,4352474,3892663"
160000,"3411504,3373744,2872500"
20000,"325817,328009,287529"
290000,"6386186,6797768,5505345"
970000,"24811500,24178846,21473353"
520000,"12073415,12070476,10237793"
170000,"3656940,3559388,3006057"
260000,"5618591,5594778,4873373"
890000,"21092186,21616400,18379042"
900000,"22133935,22469501,19187213"
810000,"19297898,19222550,16751487"
180000,"3984402,3839302,3322608"
450000,"10342101,9900258,8723669"
150000,"3030124,3197471,2783332"
10000,"160011,164493,129400"
460000,"10360920,10872898,8973464"
580000,"13612171,13629076,11452835"
490000,"11174541,11346161,9770191"
750000,"18015621,18737247,15162738"
500000,"11585291,11932884,9895257"
480000,"11354731,11134501,9530102"
400000,"9358649,9094697,7839567"
1000000,"25286972,23991257,21862388"
250000,"5638629,5349602,4652347"
120000,"2633883,2401550,2076484"
80000,"1620700,1559740,1310622"
700000,"16779959,16408696,14182494"
370000,"8711205,8078177,7169983"
960000,"24193259,23135654,19840230"
710000,"17077813,17373675,14278993"
790000,"19549375,21490712,16537484"
340000,"7849902,7653915,6544890"
930000,"22695173,23089128,19859298"
630000,"14865226,15469991,12869942"
570000,"13390289,13645700,11723604"
730000,"17799589,17120375,15959779"
860000,"20557577,20106573,17650103"
